MCODE App Results
Date: May 15, 2016 2:00:08 PM

Parameters:
   Network Scoring:
      Include Loops: false  Degree Cutoff: 2
   Cluster Finding:
      Node Score Cutoff: 0.2  Haircut: true  Fluff: false  K-Core: 2  Max. Depth from Seed: 100

Cluster	Score (Density*#Nodes)	Nodes	Edges	Node IDs
1	22.083	25	265	FUJIOKA_S_1997_NAT_PROD_REP, NOMURA_T_1997_PLANT_PHYSIOL, FUJIOKA_S_1997_PLANT_CELL, CLOUSE_SD_1999_BRASSINOSTEROIDS, SZEKERES_M_1996_CELL, CHOI_YH_1997_PHYTOCHEMISTRY, KAUSCHMANN_A_1996_PLANT_J, AZPIROZ_R_1998_PLANT_CELL, BISHOP_GJ_1996_PLANT_CELL, LI_JM_1997_CELL, NOGUCHI_T_1999_PLANT_PHYSIOL, YOKOTA_T_1997_TRENDS_PLANT_SCI, FUJIOKA_S_1997_PHYSIOL_PLANTARUM, CHOE_SW_1999_PLANT_CELL, CHOE_S_1999_PLANT_PHYSIOL, FUJIOKA_S_1996_PLANT_CELL_PHYSIOL, BISHOP_GJ_1999_P_NATL_ACAD_SCI_USA, LI_JM_1996_SCIENCE, KLAHRE_U_1998_PLANT_CELL, CLOUSE_SD_1998_ANNU_REV_PLANT_PHYS, CHOE_SW_1998_PLANT_CELL, FUJIOKA_S_1995_BIOSCI_BIOTECH_BIOCH, NOMURA_T_1999_PLANT_PHYSIOL, TAKAHASHI_T_1995_GENE_DEV, CLOUSE_SD_1996_PLANT_PHYSIOL
2	13.333	16	100	AUKERMAN_MJ_1997_PLANT_CELL, QUAIL_PH_1995_SCIENCE, FANKHAUSER_C_1999_SCIENCE, NEFF_MM_1998_PLANT_PHYSIOL, KOORNNEEF_M_1980_Z_PFLANZENPHYSIOL, NI_M_1998_CELL, FURUYA_M_1993_ANNU_REV_PLANT_PHYS, NAGATANI_A_1993_PLANT_PHYSIOL, WHITELAM_GC_1993_PLANT_CELL, AHMAD_M_1996_PLANT_J, REED_JW_1994_PLANT_PHYSIOL, SHARROCK_RA_1989_GENE_DEV, PARKS_BM_1993_PLANT_CELL, CLACK_T_1994_PLANT_MOL_BIOL, HOECKER_U_1998_PLANT_CELL, REED_JW_1993_PLANT_CELL
3	12.889	19	116	BASU_U_1994_J_PLANT_PHYSIOL, SIVAGURU_M_1998_PLANT_PHYSIOL, HORST_WJ_1995_Z_PFLANZ_BODENKUNDE, MIYASAKA_SC_1991_PLANT_PHYSIOL, RYAN_PR_1995_PLANTA, RYAN_PR_1993_J_EXP_BOT, MA_JF_1997_PLANT_CELL_PHYSIOL, ZHENG_SJ_1998_PLANT_PHYSIOL, DELHAIZE_E_1993_PLANT_PHYSIOL, PELLET_DM_1996_PLANT_PHYSIOL, PELLET_DM_1995_PLANTA, SCHMIDT_C_1994_PLANT_PHYSIOL, MA_Z_1998_PLANT_PHYSIOL, KOCHIAN_LV_1995_ANNU_REV_PLANT_PHYS, RYAN_PR_1997_P_NATL_ACAD_SCI_USA, DELHAIZE_E_1995_PLANT_PHYSIOL, KERVEN_GL_1989_AUST_J_SOIL_RES, RENGEL_Z_1996_NEW_PHYTOL, RYAN_PR_1995_AUST_J_PLANT_PHYSIOL
4	12.615	14	82	KIEBER_JJ_1993_CELL, WILKINSON_JQ_1997_NAT_BIOTECHNOL, BLEECKER_AB_1988_SCIENCE, ABELES_FB_1992_ETHYLENE_PLANT_BIOL, ROMAN_G_1995_GENETICS, SAKAI_H_1998_P_NATL_ACAD_SCI_USA, WILKINSON_JQ_1995_SCIENCE, HUA_J_1995_SCIENCE, HUA_J_1998_PLANT_CELL, LASHBROOK_CC_1998_PLANT_J, SCHALLER_GE_1995_SCIENCE, HUA_J_1998_CELL, CHANG_C_1993_SCIENCE, LANAHAN_MB_1994_PLANT_CELL
5	10.4	11	52	MCQUEENMASON_S_1994_P_NATL_ACAD_SCI_USA, BRUMMELL_DA_1999_PLANT_MOL_BIOL, ROSE_JKC_1997_P_NATL_ACAD_SCI_USA, REINHARDT_D_1998_PLANT_CELL, LINK_BM_1998_PLANT_PHYSIOL, CHO_HT_1997_PLANT_CELL, COSGROVE_DJ_1997_P_NATL_ACAD_SCI_USA, MCQUEENMASON_S_1992_PLANT_CELL, COSGROVE_DJ_1998_PLANT_PHYSIOL, FLEMING_AJ_1997_SCIENCE, SHCHERBAN_TY_1995_P_NATL_ACAD_SCI_USA
6	10	10	45	GRIFFITH_M_1992_PLANT_PHYSIOL, KROL_M_1984_CAN_J_BOT, HON_WC_1994_PLANT_PHYSIOL, HON_WC_1995_PLANT_PHYSIOL, BRADFORD_MM_1976_ANAL_BIOCHEM, ANTIKAINEN_M_1996_PLANT_PHYSIOL, LAEMMLI_UK_1970_NATURE, CHUN_JU_1998_EUPHYTICA, GRIFFITH_M_1993_PHYSIOL_PLANTARUM, DEVRIES_AL_1986_METHOD_ENZYMOL
7	9.8	11	49	SENTENAC_H_1992_SCIENCE, SCHACHTMAN_DP_1994_NATURE, RUBIO_F_1995_SCIENCE, WANG_TB_1998_PLANT_PHYSIOL, FU_HH_1998_PLANT_CELL, KIM_EJ_1998_PLANT_CELL, HIRSCH_RE_1998_SCIENCE, SPALDING_EP_1999_J_GEN_PHYSIOL, GASSMANN_W_1996_PLANT_J, SCHACHTMAN_D_1999_TRENDS_PLANT_SCI, SANTA-MARIA_GE_1997_PLANT_CELL
8	9.4	11	47	NI_BR_1993_PLANT_PHYSIOL, GROOT_SPC_1992_PLANT_PHYSIOL, STILL_DW_1997_PLANT_PHYSIOL, GROOT_SPC_1987_PLANTA, LEVIATOV_S_1995_ANN_BOT, GROOT_SPC_1988_PLANTA, AUSUBEL_FM_1987_CURRENT_PROTOCOLS_MO, DAHAL_P_1997_PLANT_PHYSIOL, NONOGAKI_H_1998_PHYSIOL_PLANTARUM, DAHAL_P_1990_J_EXP_BOT, TOOROP_PE_1996_PLANTA
9	9.111	10	41	PERRY_SE_1994_PLANT_CELL, HIRSCH_S_1994_SCIENCE, AKITA_M_1997_J_CELL_BIOL, KOURANOV_A_1997_J_CELL_BIOL, HINNAH_SC_1997_EMBO_J, SCHNELL_DJ_1994_SCIENCE, SEEDORF_M_1995_PLANT_J, KESSLER_F_1994_SCIENCE, OLSEN_LJ_1992_J_BIOL_CHEM, NIELSEN_E_1997_EMBO_J
10	9	9	36	POTIKHA_TS_1999_PLANT_PHYSIOL, WINGE_P_1997_PLANT_MOL_BIOL, LIN_YK_1996_PLANT_CELL, DELMER_DP_1995_MOL_GEN_GENET, KAWASAKI_T_1999_P_NATL_ACAD_SCI_USA, LI_H_1998_PLANT_PHYSIOL, LIN_YK_1997_PLANT_CELL, LI_H_1999_PLANT_CELL, KOST_B_1999_J_CELL_BIOL
11	8.75	9	35	MOUILLE_G_1996_PLANT_CELL, HARRIS_EH_1989_CHLAMYDOMONAS_SOURCE, DELRUE_B_1992_J_BACTERIOL, BALL_S_1996_CELL, ZEEMAN_SC_1998_PLANT_CELL, FONTAINE_T_1993_J_BIOL_CHEM, LIBESSART_N_1995_PLANT_CELL, JAMES_MG_1995_PLANT_CELL, VANDENKOORNHUYSE_N_1996_J_BIOL_CHEM
12	8.545	12	47	MAUREL_C_1993_EMBO_J, WEIG_A_1997_PLANT_PHYSIOL, JOHANSSON_I_1998_PLANT_CELL, TYERMAN_SD_1999_J_EXP_BOT, RIVERS_RL_1997_J_BIOL_CHEM, BIELA_A_1999_PLANT_J, GERBEAU_P_1999_PLANT_J, DEAN_RM_1999_BIOCHEMISTRY, BARKLA_BJ_1999_TRENDS_PLANT_SCI, CHAUMONT_F_1998_PLANT_PHYSIOL, KAMMERLOHER_W_1994_PLANT_J, MAUREL_C_1997_ANNU_REV_PLANT_PHYS
13	8	8	28	CHIANG_HH_1995_PLANT_CELL, PHILLIPS_AL_1995_PLANT_PHYSIOL, MARTIN_DN_1996_PLANTA, WU_KQ_1996_PLANT_PHYSIOL, HEDDEN_P_1997_ANNU_REV_PLANT_PHYS, XU_YL_1995_P_NATL_ACAD_SCI_USA, LESTER_DR_1997_PLANT_CELL, GARCIAMARTINEZ_JL_1997_PLANT_MOL_BIOL
14	7.556	10	34	LAMB_C_1997_ANNU_REV_PLANT_PHYS, KELLER_T_1998_PLANT_CELL, MURPHY_TM_1996_PLANT_PHYSIOL, AUH_CK_1995_PLANT_PHYSIOL, BAKER_CJ_1995_ANNU_REV_PHYTOPATHOL, BOLWELL_GP_1998_PLANT_PHYSIOL, DOKE_N_1983_PHYSIOL_PLANT_PATHOL, DESIKAN_R_1996_FEBS_LETT, XING_T_1997_PLANT_CELL, TENHAKEN_R_1995_P_NATL_ACAD_SCI_USA
15	7.143	8	25	FELLE_HH_1996_PLANT_J, SCHULTZE_M_1992_P_NATL_ACAD_SCI_USA, FELLE_HH_1995_PLANT_J, GEHRING_CA_1997_MOL_PLANT_MICROBE_IN, LEROUGE_P_1990_NATURE, LONG_SR_1996_PLANT_CELL, EHRHARDT_DW_1992_SCIENCE, EHRHARDT_DW_1996_CELL
16	7.143	8	25	VATAMANIUK_OK_1999_P_NATL_ACAD_SCI_USA, ZHU_YL_1999_PLANT_PHYSIOL, HA_SB_1999_PLANT_CELL, HOWDEN_R_1995_PLANT_PHYSIOL, CLEMENS_S_1999_EMBO_J, ZENK_MH_1996_GENE, SALT_DE_1995_PLANT_PHYSIOL, GRILL_E_1987_P_NATL_ACAD_SCI_USA
17	6.857	8	24	PITTS_RJ_1998_PLANT_J, WADA_T_1997_SCIENCE, GALWAY_ME_1994_DEV_BIOL, MASUCCI_JD_1996_DEVELOPMENT, DOLAN_L_1994_DEVELOPMENT, MASUCCI_JD_1994_PLANT_PHYSIOL, MASUCCI_JD_1996_PLANT_CELL, TANIMOTO_M_1995_PLANT_J
18	6.444	10	29	BLUME_B_1997_PLANT_J, KENDE_H_1993_ANNU_REV_PLANT_PHYS, OLSON_DC_1991_P_NATL_ACAD_SCI_USA, OETIKER_JH_1997_PLANT_MOL_BIOL, LINCOLN_JE_1993_J_BIOL_CHEM, YIP_WK_1992_P_NATL_ACAD_SCI_USA, OLSON_DC_1995_J_BIOL_CHEM, ROTTMANN_WH_1991_J_MOL_BIOL, BARRY_CS_1996_PLANT_J, YANG_SF_1984_ANNU_REV_PLANT_PHYS
19	6.333	7	19	CAMPBELL_MM_1996_PLANT_PHYSIOL, OSAKABE_K_1999_P_NATL_ACAD_SCI_USA, WHETTEN_RW_1998_ANNU_REV_PLANT_PHYS, MARTZ_F_1998_PLANT_MOL_BIOL, ATANASSOVA_R_1995_PLANT_J, HUMPHREYS_JM_1999_P_NATL_ACAD_SCI_USA, ZHONG_RQ_1998_PLANT_CELL
20	6	6	15	ANGENENT_GC_1994_PLANT_J, PNUELI_L_1994_PLANT_CELL, FLANAGAN_CA_1994_PLANT_MOL_BIOL, MANDEL_MA_1995_PLANT_CELL, MA_H_1991_GENE_DEV, DAVIES_B_1996_EMBO_J
21	6	6	15	SIEDOW_JN_1995_PLANT_CELL, VANLERBERGHE_GC_1997_ANNU_REV_PLANT_PHYS, MILLAR_AH_1993_FEBS_LETT, PURVIS_AC_1993_PHYSIOL_PLANTARUM, UMBACH_AL_1993_PLANT_PHYSIOL, ELTHON_TE_1989_PLANT_PHYSIOL
22	6	7	18	SAXENA_IM_1995_J_BACTERIOL, TURNER_SR_1997_PLANT_CELL, PEAR_JR_1996_P_NATL_ACAD_SCI_USA, DELMER_DP_1999_ANNU_REV_PLANT_PHYS, ARIOLI_T_1998_SCIENCE, CAMPBELL_JA_1997_BIOCHEM_J, TAYLOR_NG_1999_PLANT_CELL
23	5.833	13	35	JANG_JC_1994_PLANT_CELL, SMEEKENS_S_1997_PLANT_PHYSIOL, SMEEKENS_S_1998_CURR_OPIN_PLANT_BIOL, JANG_JC_1997_TRENDS_PLANT_SCI, GRAHAM_IA_1994_PLANT_CELL, KOCH_KE_1996_ANNU_REV_PLANT_PHYS, SANGER_F_1977_P_NATL_ACAD_SCI_USA, ROOK_F_1998_PLANT_J, MURASHIGE_T_1962_PHYSIOL_PLANTARUM, HALFORD_NG_1999_TRENDS_PLANT_SCI, DELLAPORTA_SL_1983_PLANT_MOL_BIOL_REP, JANG_JC_1997_PLANT_CELL, ALTSCHUL_SF_1990_J_MOL_BIOL
24	5.6	6	14	CHANEY_RL_1972_PLANT_PHYSIOL, LANDSBERG_EC_1982_J_PLANT_NUTR, SCHMIDT_W_1999_NEW_PHYTOL, MOOG_PR_1994_PLANT_SOIL, EIDE_D_1996_P_NATL_ACAD_SCI_USA, ROBINSON_NJ_1999_NATURE
